Number,Jar Number,Museum_number,PhD Tag,Species_name,Common Name,Field Collection ID,Collecting_site,Province,Country,GPS Coordinates,Collecting_year,Collecting_month,Collectiing_date,Observations,Photograph,Tagged,Dissection_date,Collector,Sex,Standard_length,Gonopodium_length,Wet-mass,Reproductive_state,Brood_number,Embryo_stage,Embryo_count,Stomach,Dry_mass,Brood_dry_mass,Brood_dry_mass_total,Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,11,154150,None,Priapichthys annectens,Olomina,6-Jun,Rio Quebrada Guape,Guanacaste,Costa Rica,N 10o 33.795 W 84o 55.251,2006,February,2/10/06,Museum tags in jar but not individually attached.,YES,YES,4/11/22,Erik Johnson,2,50.6,,2.3732,1,1,9,11,YES,0.5551,0.0509,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,11,154151,None,Priapichthys annectens,Olomina,6-Jun,Rio Quebrada Guape,Guanacaste,Costa Rica,N 10o 33.795 W 84o 55.251,2006,February,2/10/06,Museum tags in jar but not individually attached.,YES,YES,4/11/22,Erik Johnson,0,36.6,,0.8454,0,0,NA,NA,YES,0.2001,NA,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,11,154152,None,Priapichthys annectens,Olomina,6-Jun,Rio Quebrada Guape,Guanacaste,Costa Rica,N 10o 33.795 W 84o 55.251,2006,February,2/10/06,Museum tags in jar but not individually attached.,YES,YES,4/11/22,Erik Johnson,2,34.5,,0.8022,1,1,4,4,YES,0.1797,0.0156,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,11,154153,None,Priapichthys annectens,Olomina,6-Jun,Rio Quebrada Guape,Guanacaste,Costa Rica,N 10o 33.795 W 84o 55.251,2006,February,2/10/06,Museum tags in jar but not individually attached.,YES,YES,4/12/22,Erik Johnson,0,31.6,,0.5589,0,0,NA,NA,YES,0.1292,NA,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,11,154167,None,Priapichthys annectens,Olomina,6-Jun,Rio Quebrada Guape,Guanacaste,Costa Rica,N 10o 33.795 W 84o 55.251,2006,February,2/10/06,Museum tags in jar but not individually attached.,YES,YES,4/11/22,Erik Johnson,2,44.7,,1.8423,1,1,8,9,YES,0.4153,0.0362,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,11,154168,None,Priapichthys annectens,Olomina,6-Jun,Rio Quebrada Guape,Guanacaste,Costa Rica,N 10o 33.795 W 84o 55.251,2006,February,2/10/06,Museum tags in jar but not individually attached.,YES,YES,4/11/22,Erik Johnson,2,54,,2.9745,1,1,3,16,YES,0.705,0.0701,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,11,154169,None,Priapichthys annectens,Olomina,6-Jun,Rio Quebrada Guape,Guanacaste,Costa Rica,N 10o 33.795 W 84o 55.251,2006,February,2/10/06,Museum tags in jar but not individually attached.,YES,YES,4/11/22,Erik Johnson,2,42.9,,1.7795,1,1,10,11,YES,0.4015,0.0357,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,11,154170,None,Priapichthys annectens,Olomina,6-Jun,Rio Quebrada Guape,Guanacaste,Costa Rica,N 10o 33.795 W 84o 55.251,2006,February,2/10/06,Museum tags in jar but not individually attached.,YES,YES,4/12/22,Erik Johnson,2,37.2,,0.9847,1,1,7,7,YES,0.234,0.0178,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,11,154171,None,Priapichthys annectens,Olomina,6-Jun,Rio Quebrada Guape,Guanacaste,Costa Rica,N 10o 33.795 W 84o 55.251,2006,February,2/10/06,Museum tags in jar but not individually attached.,YES,YES,4/12/22,Erik Johnson,0,28.9,,0.4101,0,0,NA,NA,YES,0.0972,NA,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,11,154174,None,Priapichthys annectens,Olomina,6-Jun,Rio Quebrada Guape,Guanacaste,Costa Rica,N 10o 33.795 W 84o 55.251,2006,February,2/10/06,Museum tags in jar but not individually attached.,YES,YES,4/12/22,Erik Johnson,0,30.2,,0.4954,0,0,NA,NA,YES,0.11,NA,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,11,154176,None,Priapichthys annectens,Olomina,6-Jun,Rio Quebrada Guape,Guanacaste,Costa Rica,N 10o 33.795 W 84o 55.251,2006,February,2/10/06,Museum tags in jar but not individually attached.,YES,YES,4/12/22,Erik Johnson,0,29.4,,0.4555,0,0,NA,NA,YES,0.1102,NA,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,11,154182,None,Priapichthys annectens,Olomina,6-Jun,Rio Quebrada Guape,Guanacaste,Costa Rica,N 10o 33.795 W 84o 55.251,2006,February,2/10/06,Museum tags in jar but not individually attached.,YES,YES,4/12/22,Erik Johnson,0,34.9,,0.738,0,0,NA,NA,YES,0.1703,NA,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,24,154904,None,Priapichthys annectens,Olomina,11-Jun,Quebrada Homiguera,Guanacaste,Costa Rica,N 10o 41.454 W 85o 05.019,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/13/22,Erik Johnson,2,43.4,,1.7005,1,1,4,22,YES,0.3605,0.0855,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,24,154905,None,Priapichthys annectens,Olomina,11-Jun,Quebrada Homiguera,Guanacaste,Costa Rica,N 10o 41.454 W 85o 05.019,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/13/22,Erik Johnson,2,51.3,,3.0471,1,1,6,34,YES,0.6283,0.1316,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,24,154906,None,Priapichthys annectens,Olomina,11-Jun,Quebrada Homiguera,Guanacaste,Costa Rica,N 10o 41.454 W 85o 05.019,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/13/22,Erik Johnson,2,49.6,,2.1025,1,1,6,20,YES,0.4792,0.0695,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,24,154907,None,Priapichthys annectens,Olomina,11-Jun,Quebrada Homiguera,Guanacaste,Costa Rica,N 10o 41.454 W 85o 05.019,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/13/22,Erik Johnson,2,46.9,,2.2173,1,1,9,23,YES,0.4892,0.0711,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,24,154908,None,Priapichthys annectens,Olomina,11-Jun,Quebrada Homiguera,Guanacaste,Costa Rica,N 10o 41.454 W 85o 05.019,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/13/22,Erik Johnson,2,46.1,,1.8222,1,1,3,17,YES,0.4016,0.0616,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,24,154909,None,Priapichthys annectens,Olomina,11-Jun,Quebrada Homiguera,Guanacaste,Costa Rica,N 10o 41.454 W 85o 05.019,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/13/22,Erik Johnson,2,38.8,,1.2386,1,1,11,5,YES,0.2572,0.0108,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,24,154910,None,Priapichthys annectens,Olomina,11-Jun,Quebrada Homiguera,Guanacaste,Costa Rica,N 10o 41.454 W 85o 05.019,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/13/22,Erik Johnson,2,45.8,,2.0133,1,1,8,17,YES,0.4332,0.0656,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,24,154911,None,Priapichthys annectens,Olomina,11-Jun,Quebrada Homiguera,Guanacaste,Costa Rica,N 10o 41.454 W 85o 05.019,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/13/22,Erik Johnson,2,45.3,,1.985,1,1,3,16,YES,0.4314,0.0599,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,24,154913,None,Priapichthys annectens,Olomina,11-Jun,Quebrada Homiguera,Guanacaste,Costa Rica,N 10o 41.454 W 85o 05.019,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/13/22,Erik Johnson,2,34.8,,0.7078,1,1,3,9,YES,0.1525,0.023,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,24,154914,None,Priapichthys annectens,Olomina,11-Jun,Quebrada Homiguera,Guanacaste,Costa Rica,N 10o 41.454 W 85o 05.019,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/13/22,Erik Johnson,2,34,,0.7144,1,1,4,9,YES,0.1539,0.0199,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,24,154918,None,Priapichthys annectens,Olomina,11-Jun,Quebrada Homiguera,Guanacaste,Costa Rica,N 10o 41.454 W 85o 05.019,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/13/22,Erik Johnson,0,26.4,,0.3784,0,0,NA,NA,YES,0.0746,NA,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,24,154923,None,Priapichthys annectens,Olomina,11-Jun,Quebrada Homiguera,Guanacaste,Costa Rica,N 10o 41.454 W 85o 05.019,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/13/22,Erik Johnson,0,27.8,,0.4038,0,0,NA,NA,YES,0.0932,NA,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,24,154926,None,Priapichthys annectens,Olomina,11-Jun,Quebrada Homiguera,Guanacaste,Costa Rica,N 10o 41.454 W 85o 05.019,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/13/22,Erik Johnson,0,26.8,,0.3487,0,0,NA,NA,YES,0.0758,NA,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,22,154855,None,Priapichthys annectens,Olomina,4-May,Quebrada Hormiguero,Guanacaste,Costa Rica,N 10o 41.445 W 85o 05.036,2005,January,1/27/05,Includes one small crab. Museum tags in jar but not individually attached.,YES,YES,4/13/22,Erik Johnson,2,43.7,,1.489,1,1,3,13,YES,0.3244,0.0525,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,22,154856,None,Priapichthys annectens,Olomina,4-May,Quebrada Hormiguero,Guanacaste,Costa Rica,N 10o 41.445 W 85o 05.036,2005,January,1/27/05,Includes one small crab. Museum tags in jar but not individually attached.,YES,YES,4/13/22,Erik Johnson,2,39.8,,1.3194,1,1,10,9,YES,0.2843,0.0297,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,22,154857,None,Priapichthys annectens,Olomina,4-May,Quebrada Hormiguero,Guanacaste,Costa Rica,N 10o 41.445 W 85o 05.036,2005,January,1/27/05,Includes one small crab. Museum tags in jar but not individually attached.,YES,YES,4/13/22,Erik Johnson,0,28.9,,0.4015,0,0,NA,NA,YES,0.0872,NA,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,22,154858,None,Priapichthys annectens,Olomina,4-May,Quebrada Hormiguero,Guanacaste,Costa Rica,N 10o 41.445 W 85o 05.036,2005,January,1/27/05,Includes one small crab. Museum tags in jar but not individually attached.,YES,YES,4/13/22,Erik Johnson,0,32.7,,0.5388,0,0,NA,NA,YES,0.1264,NA,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,22,154859,None,Priapichthys annectens,Olomina,4-May,Quebrada Hormiguero,Guanacaste,Costa Rica,N 10o 41.445 W 85o 05.036,2005,January,1/27/05,Includes one small crab. Museum tags in jar but not individually attached.,YES,YES,4/13/22,Erik Johnson,2,40.5,,1.2874,1,1,4,16,YES,0.2715,0.0649,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,22,154860,None,Priapichthys annectens,Olomina,4-May,Quebrada Hormiguero,Guanacaste,Costa Rica,N 10o 41.445 W 85o 05.036,2005,January,1/27/05,Includes one small crab. Museum tags in jar but not individually attached.,YES,YES,4/13/22,Erik Johnson,2,36.7,,1.0864,1,1,3,8,YES,0.2309,0.0246,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,22,154861,None,Priapichthys annectens,Olomina,4-May,Quebrada Hormiguero,Guanacaste,Costa Rica,N 10o 41.445 W 85o 05.036,2005,January,1/27/05,Includes one small crab. Museum tags in jar but not individually attached.,YES,YES,4/13/22,Erik Johnson,0,32.2,,0.5945,0,0,NA,NA,YES,0.1334,NA,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,22,154862,None,Priapichthys annectens,Olomina,4-May,Quebrada Hormiguero,Guanacaste,Costa Rica,N 10o 41.445 W 85o 05.036,2005,January,1/27/05,Includes one small crab. Museum tags in jar but not individually attached.,YES,YES,4/13/22,Erik Johnson,2,41.7,,1.706,1,1,11,13,YES,0.3511,0.0383,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,22,154863,None,Priapichthys annectens,Olomina,4-May,Quebrada Hormiguero,Guanacaste,Costa Rica,N 10o 41.445 W 85o 05.036,2005,January,1/27/05,Includes one small crab. Museum tags in jar but not individually attached.,YES,YES,4/13/22,Erik Johnson,2,49.4,,2.2447,1,1,6,19,YES,0.4869,0.0948,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,22,154864,None,Priapichthys annectens,Olomina,4-May,Quebrada Hormiguero,Guanacaste,Costa Rica,N 10o 41.445 W 85o 05.036,2005,January,1/27/05,Includes one small crab. Museum tags in jar but not individually attached.,YES,YES,4/13/22,Erik Johnson,2,44.8,,2.025,1,1,1,,YES,0.42,0.0572,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,154308,None,Priapichthys annectens,Olomina,1-Jun,Rio La Balsa,Alejuela,Costa Rica,N 10o 10.324 W 84o 29.881,2006,February,2/9/06,Museum tags in jar but not individually attached.,YES,YES,4/15/22,Erik Johnson,0,46.1,,1.627,0,0,NA,NA,YES,0.3669,NA,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,17,154311,None,Priapichthys annectens,Olomina,1-Jun,Rio La Balsa,Alejuela,Costa Rica,N 10o 10.324 W 84o 29.881,2006,February,2/9/06,Museum tags in jar but not individually attached.,YES,YES,4/15/22,Erik Johnson,2,52.2,,2.9,1,1,4,13,YES,0.624,0.0692,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,17,154314,None,Priapichthys annectens,Olomina,1-Jun,Rio La Balsa,Alejuela,Costa Rica,N 10o 10.324 W 84o 29.881,2006,February,2/9/06,Museum tags in jar but not individually attached.,YES,YES,4/15/22,Erik Johnson,2,48,,1.8337,1,1,4,5,YES,0.397,0.0238,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,17,154318,None,Priapichthys annectens,Olomina,1-Jun,Rio La Balsa,Alejuela,Costa Rica,N 10o 10.324 W 84o 29.881,2006,February,2/9/06,Museum tags in jar but not individually attached.,YES,YES,4/15/22,Erik Johnson,2,40.8,,1.3881,1,1,1,,YES,0.2844,0.012,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,17,154321,None,Priapichthys annectens,Olomina,1-Jun,Rio La Balsa,Alejuela,Costa Rica,N 10o 10.324 W 84o 29.881,2006,February,2/9/06,Museum tags in jar but not individually attached.,YES,YES,4/15/22,Erik Johnson,2,49,,2.3268,1,1,11,5,YES,"5,045",0.0199,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,17,154325,None,Priapichthys annectens,Olomina,1-Jun,Rio La Balsa,Alejuela,Costa Rica,N 10o 10.324 W 84o 29.881,2006,February,2/9/06,Museum tags in jar but not individually attached.,YES,YES,4/15/22,Erik Johnson,2,44.2,,1.5275,1,1,5,7,YES,0.3207,0.0266,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,17,154327,None,Priapichthys annectens,Olomina,1-Jun,Rio La Balsa,Alejuela,Costa Rica,N 10o 10.324 W 84o 29.881,2006,February,2/9/06,Museum tags in jar but not individually attached.,YES,YES,4/15/22,Erik Johnson,2,43.6,,1.341,1,1,10,3,YES,0.2873,0.0111,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,17,154332,None,Priapichthys annectens,Olomina,1-Jun,Rio La Balsa,Alejuela,Costa Rica,N 10o 10.324 W 84o 29.881,2006,February,2/9/06,Museum tags in jar but not individually attached.,YES,YES,4/15/22,Erik Johnson,2,38.5,,0.9417,1,1,1,,YES,0.2043,0.0058,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,17,154333,None,Priapichthys annectens,Olomina,1-Jun,Rio La Balsa,Alejuela,Costa Rica,N 10o 10.324 W 84o 29.881,2006,February,2/9/06,Museum tags in jar but not individually attached.,YES,YES,4/15/22,Erik Johnson,2,33,,0.6097,1,1,7,4,YES,0.125,0.0146,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
